TF,ES,arg.ES,pVal,numberOfChIPs
ZNF282,0.75546,169,0.47,1
PRPF4,0.754,170,0.5,1
JUN,-0.57528,398,0.55,4
HNRNPL,0.75109,172,0.49,1
ZNF786,0.74964,173,0.45,1
PPARGC1A,0.74672,175,0.54,1
TBL1XR1,-0.49513,352,0.89,2
ZNF770,0.74381,177,0.53,1
BDP1,0.74236,178,0.49,1
GMEB1,0.7409,179,0.53,1
ZFP64,0.73945,180,0.58,1
ZKSCAN1,-0.68833,474,0.4,2
STAT3,0.52478,328,0.76,2
STAG1,0.73508,183,0.5,1
NFYB,-0.68461,471,0.42,3
ZNF384,-0.55808,388,0.73,2
MTA1,0.72926,187,0.61,1
CUX1,0.57434,294,0.67,2
ZFY,0.72635,189,0.59,1
MYNN,0.72489,190,0.57,1
HSF2,0.72344,191,0.59,1
IKZF1,0.56414,301,0.68,2
ZNF3,0.72052,193,0.57,1
USF1,-0.59018,405,0.43,5
ZNF501,0.71761,195,0.58,1
ATF7,-0.83905,579,0.21,2
ZNF44,0.7147,197,0.59,1
NONO,0.66764,230,0.54,2
CEBPD,0.71179,199,0.67,1
BHLHE40,-0.76583,531,0.12,5
RAD51,-0.69758,489,0.54,2
ZZZ3,0.59767,278,0.69,2
HBP1,0.7016,206,0.53,1
ZNF883,0.70015,207,0.66,1
ZNF337,0.69869,208,0.58,1
HDAC6,-0.79462,557,0.19,2
SRSF9,0.69578,210,0.59,1
FOS,-0.59846,418,0.53,4
USF2,-0.52096,377,0.5,6
HIVEP1,0.68996,214,0.66,1
RNF2,-0.68766,480,0.42,3
NFE2L2,-0.84311,592,0.15,2
ZNF276,0.68413,218,0.68,1
GTF3C2,0.68268,219,0.61,1
PBX2,0.68122,220,0.67,1
SMAD1,-0.81468,577,0.23,2
MAFK,0.45175,379,0.86,4
ZFP37,0.67686,223,0.63,1
FIP1L1,0.67394,225,0.7,1
ZNF263,0.67249,226,0.7,1
RFXAP,0.67103,227,0.67,1
CREB1,-0.80579,628,0.06,5
RFX3,0.66812,229,0.66,1
SIN3A,-0.81379,654,0.06,5
ZNF697,0.66376,232,0.79,1
MNX1,0.6623,233,0.68,1
RCOR1,-0.8207,610,0.08,4
NFE2,0.65793,236,0.59,1
KDM5B,0.59913,277,0.68,2
ZNF598,0.65502,238,0.7,1
ZFP36,-0.72706,516,0.31,3
ZNF550,0.65211,240,0.72,1
CTCF,-0.48206,363,0.33,31
MYC,-0.64106,511,0.3,7
NFYA,-0.5072,381,0.78,3
TGIF2,0.64338,246,0.74,1
MBD1_ISOF1,0.64192,247,0.66,1
ZNF737,0.64047,248,0.69,1
SRF,-0.62476,439,0.29,5
BACH1,-0.62877,677,0.45,4
BCL11A,-0.78844,621,0.18,3
POU5F1,0.63173,254,0.72,1
ZNF232,0.63028,255,0.78,1
SRSF4,0.62882,256,0.78,1
ZNF207,-0.84044,612,0.18,2
DNMT3B,0.61079,269,0.69,2
DR1,0.62154,261,0.75,1
PPARA,0.62009,262,0.75,1
ZNF800,0.61863,263,0.76,1
HNRNPH1,0.61718,264,0.81,1
ATF2,-0.57038,473,0.52,4
TCF25,0.61281,267,0.77,1
ZHX2,0.61135,268,0.78,1
MBD1,0.60844,270,0.82,1
ZNF572,0.60699,271,0.78,1
PAX8,0.60262,274,0.76,1
ESRRG,0.60116,275,0.82,1
UBTF,-0.71163,548,0.37,2
ZNF143,-0.70344,528,0.1,6
RB1,-0.83897,620,0.14,2
WRNIP1,0.58952,283,0.8,1
TCF3,-0.8099,604,0.23,2
BRD4,0.58515,286,0.79,1
NFXL1,0.5837,287,0.82,1
GLIS3,0.58224,288,0.84,1
MNT,0.57289,295,0.69,2
ZNF224,0.5706,296,0.89,1
BCLAF1,0.56914,297,0.89,1
CBX5,0.56623,299,0.84,1
PRDM15,0.5575,305,0.95,1
RFX5,-0.44656,305,0.78,5
KAT2A,0.55313,308,0.96,1
TOX2,0.55022,310,0.87,1
U2AF1,0.54876,311,0.9,1
ETV6,-0.67624,552,0.56,2
CERS6,0.54585,313,0.9,1
MAZ,-0.88623,639,0.03,3
NFRKB,0.54294,315,0.92,1
ZNF766,0.53857,318,0.91,1
ZNF256,0.53712,319,0.95,1
ZNF142,0.53566,320,0.93,1
ZNF622,0.53421,321,0.92,1
SIRT6,0.52693,326,0.94,1
ZNF891,0.52256,329,0.97,1
NFAT5,0.51965,331,0.92,1
RBM39,0.51237,336,0.99,1
IRF5,0.50946,338,0.99,1
BRCA1,-0.50748,413,0.8,4
ZBTB40,-0.82977,650,0.2,2
U2AF2,0.50218,343,1,1
SNAI2,0.50073,344,1,1
RFX1,-0.50073,344,1,1
PRDM1,-0.50218,345,0.99,1
PTBP1,-0.50655,348,1,1
BNC2,-0.50946,350,0.99,1
CHD2,-0.86508,618,0.03,5
SIN3B,-0.51674,355,0.93,1
CHD1,-0.66941,504,0.33,4
CREB5,-0.52256,359,0.93,1
IRF3,-0.52709,360,0.57,5
MXI1,-0.78348,564,0.05,5
CHD4,-0.53275,366,0.95,1
SMARCA4,-0.53857,370,0.92,1
ATF1,-0.54003,371,0.95,1
FOSL1,-0.54585,375,0.91,1
AGO1,-0.56186,386,0.87,1
CSDC2,-0.56332,387,0.92,1
STAT5A,-0.56623,389,0.87,1
ZSCAN29,-0.56769,390,0.88,1
CHD7,-0.57205,393,0.81,1
STAT1,-0.5758,395,0.69,2
HNRNPLL,-0.58224,400,0.81,1
ELK1,-0.60883,587,0.69,2
E2F4,-0.58832,403,0.57,3
ZNF592,-0.58806,404,0.86,1
ZNF777,-0.59825,411,0.82,1
NFATC1,-0.59971,412,0.87,1
HNRNPK,-0.6099,419,0.83,1
SP2,-0.61224,420,0.61,2
FOXM1,-0.6137,421,0.64,2
PREB,-0.61863,425,0.75,1
EBF1,-0.62445,429,0.78,1
PCBP1,-0.62882,432,0.72,1
SIX5,-0.79192,681,0.23,2
RBBP5,-0.6414,440,0.58,2
TSHZ2,-0.64483,443,0.78,1
CBX1,-0.65357,449,0.68,1
MAFF,-0.65889,452,0.52,2
NRF1,-0.66569,454,0.24,6
CEBPZ,-0.66472,456,0.49,2
BMI1,-0.67249,462,0.65,1
E2F1,-0.68467,469,0.42,3
TAF15,-0.68705,472,0.56,1
CTBP2,-0.69141,475,0.56,1
E2F6,-0.70262,482,0.27,2
MEF2C,-0.70306,483,0.58,1
HCFC1,-0.8357,669,0.11,3
ZFP3,-0.70597,485,0.56,1
GMEB2,-0.70742,486,0.64,1
JUNB,-0.70888,487,0.6,1
TARDBP,-0.71533,490,0.35,3
MTA2,-0.71616,492,0.61,1
ZBTB14,-0.72926,501,0.55,1
NR3C1,-0.73178,502,0.39,2
FUS,-0.73508,505,0.51,1
IKZF2,-0.74781,513,0.27,2
MLLT1,-0.75837,521,0.51,1
E4F1,-0.76128,523,0.48,1
NR2F1,-0.76419,525,0.51,1
MTA3,-0.77001,529,0.52,1
BCL3,-0.77147,530,0.46,1
KDM5A,-0.78571,539,0.33,2
MEF2B,-0.78603,540,0.51,1
DEK,-0.78748,541,0.43,1
TBX21,-0.78894,542,0.33,1
SMARCC1,-0.79622,547,0.43,1
SMARCA5,-0.81223,558,0.38,1
NANOG,-0.81368,559,0.41,1
DPF2,-0.81659,561,0.37,1
ZBED1,-0.81805,562,0.38,1
KDM4A,-0.82533,567,0.33,1
SKIL,-0.82824,569,0.4,1
SMARCB1,-0.83115000000000006,571,0.31,1
RELB,-0.83261,572,0.33,1
NFATC3,-0.83406,573,0.32,1
ZNF687,-0.83552,574,0.26,1
RELA,-0.8484,582,0.17,2
IRF4,-0.86026,591,0.27,1
ELK4,-0.86463,594,0.31,1
ZHX1,-0.8688,596,0.14,2
E2F8,-0.87045,598,0.2,1
PKNOX1,-0.88646,609,0.15,1
GATAD2B,-0.89665,616,0.19,1
SP4,-0.9083,624,0.18,1
PAX5,-0.91108,625,0.08,2
NR2C1,-0.91849,631,0.11,1
MYB,-0.9214,633,0.16,1
SAP30,-0.94178,647,0.15,1
KLF5,-0.94323,648,0.13,1
TAF7,-0.95779,658,0.08,1
PML,-0.96507,663,0.09,1
PBX3,-0.97234,668,0.05,1
SMAD5,-0.99854,686,0,1
